num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2,x1,x2
1,35.9772,961.7152461058763,50,0.5,1.0,0.5,3.5193118735122946,0.21642359029777983
2,16.7083,961.7201909726034,40,0.3,0.5,0.5,3.453900755939188,0.22209406141535135
4,8.8458,961.7152286179049,50,0.7,1.0,2.5,3.5057683591234445,0.217496065390792
6,5.9041,961.717480652257,50,0.3,1.5,2.5,3.5512533897571514,0.2140984205693103
8,4.7622,961.7154942835605,20,0.5,1.0,0.5,3.497348153924612,0.21819316300850441
12,3.9204,961.722225163713,20,0.5,2.0,1.5,3.4430928659892555,0.2231464010310562
16,3.5025,961.715652538115,30,0.5,1.5,1.5,3.4941109116063043,0.21846559345327718
20,3.2282,961.7151730463105,10,0.5,1.0,0.5,3.513920065057645,0.21684507193394012
24,3.1706,961.7307002660614,20,0.7,2.5,0.5,3.4093145187475216,0.22663434105596383
28,3.3562,961.7153443228468,10,0.7,0.5,0.5,3.522952579401456,0.21614342829403013
