num_procesos,tiempo,puntaje,param_num_particulas,param_w,param_c1,param_c2
1,212.4482,-30667.581610496345,50,0.1,0.5,2.5
2,104.937,-30667.581610496345,50,0.1,0.5,2.5
4,49.111,-30667.581610496345,50,0.1,1.5,2.0
6,32.5984,-30667.581610496345,50,0.1,2.0,2.0
8,24.988,-30667.581610496345,50,0.1,1.0,2.0
12,20.5926,-30667.581610496345,50,0.3,2.5,2.0
16,18.4018,-30667.581610496345,50,0.5,0.5,2.0
20,16.7226,-30667.581610496345,50,0.7,1.5,0.5
24,16.6963,-30667.581610496345,50,0.5,1.0,2.5
28,16.4436,-30667.581610496345,50,0.3,0.5,2.0
